Hausa_Text,English_Translation,Intent,Tone,Domain
Da inada iko da nace aje ayi mata sutura,"If I had the power, I would have said she should be prepared for burial",Reflection,Sad,Religion
Ana haka sai ga wani mai mashin ya zo,"While this was happening, a motorcyclist arrived",Narration,Neutral,Daily life
Mai mashin din ya goyo wata mata ne?,The motorcyclist was carrying a woman?,Question,Concerned,Daily life
Ya faka ya sauke ta kenan ya zo,He parked and dropped her off then came,Narration,Neutral,Daily life
Mun taho gida muna ta yin salati,We went home reciting prayers,Narration,Solemn,Religion
Inda ranka ka sha kallo,When you are alive You will really see a lot,Statement,Reflective,Social
Na je wurin mai aski ne za a yi min aski,I went to the barber to get a haircut,Narration,Neutral,Daily life
Misalin karfe uku na yamma nake zuwa wurin,I used to go there around 3 p.m.,Narration,Neutral,Time
Wani na kusa da ni ne ya yi tsaki,Someone close to me clicked his tongue,Narration,Annoyed,Social
Na ce masa bawan Allah lafiya dai ko,"I said to him, servant of God, are you okay?",Question,Concerned,Social
Ya ce wani abu yake tunawa da ya faru,He said he is remembering something that happened,Statement,Serious,Social
Abin nan yana damunsa sosai,This matter is troubling him a lot,Observation,Serious,Emotional
Ku kanku sai kun ji babu dadi,You yourselves will feel bad,Statement,Serious,Emotional
Ka ba mu musha in dai labari ne,We would like to hear the story sincerely,Request,Casual,Social
Majalissarmu ta samu abin tattaunawa,Our gathering got something to discuss,Statement,Neutral,Social
Hmmm din da ya ce ban ji dadin taba,The “hmmm” he said makes me fell bad,Statement,Concerned,Social
Na tadda wata mata a wurin karamin likita,I reached a woman seeing a small doctor,Confession,Serious,Health
"Amanar ’ya’yanku da aka ba ku, Allah zai tambaye ku","The trust of your children given to you, God will question you",Statement,Serious,Religion
Da uwar da yarinyar duka kuka suke,Both the mother and the girl were crying,Narration,Sad,Family
"Aurenta ya zo, ga shi wani ya yi mata ciki","Her marriage time came, yet someone impregnated her",Narration,Serious,Social
Ina cikin matsananciyar damuwa,I am in severe distress,Emotional expression,Distressed,Emotional
"Ba ka son abin, amma kana yin sa kullum","You don’t like it, yet you do it every day",Reproach,Serious,Social
Sai ka jure sosai za ka ci nasara,Endure greatly and you will succeed,Advice,Encouraging,Motivation
Nasara ba ta zuwa da wasa,Success does not come easily,Statement,Motivational,Motivation
"Ban taba yarda da sa’a ba, kirkirar ta nake",I never rely on luck; I create it,Statement,Confident,Motivation
Allah shi ya san abin da gobe za ta yi,God alone knows what tomorrow will bring,Reflection,Calm,Religion
Mun kusa hakura da aikin nan,We almost gave up on this work,Narration,Tired,Work
Dan jarida ne mai son gaskiya,He is a journalist who loves truth,Statement,Respectful,Media
"Ba ta wasa da aikinta, ko kadan",She does not joke with her work at all,Statement,Serious,Work
Kadan ya hana ya mari sojan nan,It almost led him to slap that soldier,Narration,Tense,Security
Babu mai son tashin hankali sai mara tunani,Only the thoughtless like violence,Statement,Admonition,Neutral
Duk mace mai hankali ta san mijinta na da budurwa a waje,Every sensible woman knows her husband has a girlfriend outside,Statement,Controversial,Social
Mu je tambaya ta gaba,Let us move to the next question,Command,Neutral,Social
Duk namiji mai hankali ba ya da budurwa a waje,Every sensible man does not have a girlfriend outside,Statement,Assertive,Social
Kina da tsayayye ko kuma ni in tsaya,Do you have someone to marry you or I should be one?,Question,Serious,Decision
Ni nawa har da bazawara gare shi,My own he even have a widow,Statement,Neutral,Family
Wato shi dai namiji haka yake?,So is that how men really are?,Question,Reflective,Social
Allah ya kawo mana sauki,May God bring us relief,Prayer,Hopeful,Religion
Alaramma haddaku masu Alqur’ani?,"Qur'anic Scholar, including you that have Qur’an?",Question,Serious,Religion
Gaskiya babu dadi dama,"Truly, it is not pleasant at all",Complaint,Sad,Emotional
Yau kuma nan aka fara karatun kenan?,So today the lessons start here?,Question,Curious,Education
"Wallahi karyane, ba duka ba","I swear it is false, not all",Statement,Defensive,Social
Antina za ta ga wannan rubutun kuwa?,"My aunt will see this write-up, won’t she?",Question,Concerned,Family
Ina gayyatarku wurin zuwa daurin aure na,I invite you to my wedding ceremony,Invitation,Happy,Social
Ina gayyatarku wurin walima,I invite you to the wedding reception,Invitation,Happy,Social
Ka ji gaskiya daga bakin masu gaskiya,Hear the truth from those who speak truth,Advice,Serious,Ethics
Daga filin wasa na kasa da kasa,From the international stadium,Statement,Neutral,Sports
Shi fa abin duniya ba a nema da sanyin jiki,Worldly success is not achieved by laziness,Statement,Admonishing,Motivation
Mu ma fa dole mu nemi kudi,We too must seek money,Statement,Determined,Economy
Yar China ta zo tallar gwanjo,The Chinese girl came to promote an auction,Narration,Neutral,Business
Ba a kirata ba ta zo,She came without being invited,Narration,Neutral,Social
Me nake gani haka?,What am I seeing like this?,Question,Surprised,Social
"Tambayarta, ita ina hijabinta?","Asked her, where is her hijab?",Question,Critical,Religion
’Yan kananu da su abin sha’awa,Young ones with appealing looks,Statement,Neutral,Social
Ba sa gane uwa da uba,They do not recognize mother and father,Statement,Concerned,Social
Ya kamata ka duba da kyau,You should examine carefully,Advice,Serious,Ethics
"Abu mai kyau ne, bai kamata a fid da su a bainar nasi ba",It is a good thing; they should not be exposed publicly,Statement,Advisory,Neutral
Yana kara mana kuzarin saka data,It increases our motivation to input data,Statement,Motivational,Work
Ana sanya rigar ciki kafin a sanya baya,One wears inner clothing before the outer one,Statement,Instructional,Daily life
Daga shigar da ta yi za ka ga tana bukatar a bata tarbiyya,From her dressing you can see she needs moral upbringing,Observation,Critical,Social
Ita din mace ce cikakkiya,She is a complete woman,Statement,Affirmative,Social
A gaban malan mai almajirai kuke iskanci,In front of a teacher with students you are misbehaving,Accusation,Angry,Religion
Wanda ya yi bidiyon nan bai kyauta ba,The person who made this video did wrong,Condemnation,Serious,Media
Mai hankali da ke amma kike irin wannan shiga,You are sensible yet you dress like this,Reproach,Serious,Social
Ka tona mata asiri,You exposed her secret,Accusation,Serious,Social
Wannan zamanin fa akwai rashin tarbiyya,In this era there is lack of morals,Observation,Serious,Society
Halan siminti aka shafa a wurin,The place was plastered with cement,Narration,Neutral,Construction
Na hangi rigar ciki,I noticed the inner clothing,Observation,Surprised,Social
Rai dangin goro,The soul need rest,Emotional expression,Anxious,Emotional
"An rufe komai, amma ana ganin komai","Everything is covered, yet everything is visible",Observation,Critical,Social
Ashe ita ma yarinyar nan ta waye har haka?,So this girl is that clever?,Question,Surprised,Social
Faka-faka mu kara wa juna mabiya,Let’s help each other increase followers,Invitation,Casual,Social media
"Sai an gwada masu cin kai, za a zauna da su lafiya",Only after testing stubborn people can peace be achieved,Statement,Proverbial,Social
Wallahi ni ganau ne ba jiyau ba,"I swear I am an eyewitness, not by hearsay",Statement,Assertive,Justice
Na gani da idona ba labari aka bani ba,"I saw it with my own eyes, I was not told",Statement,Assertive,Justice
Ba zan yi nadamar duk abin da ya biyo baya ba,I will not regret whatever follows,Statement,Defiant,Personal
Kuce ni ne na sanar da ku duk inda za a je,Say that I am the one who informed you wherever you go,Instruction,Serious,Social
Zan gabatar da gamsassun hujjoji,I will present convincing evidence,Assertion,Confident,Justice
Wannan autan kam sai a hankali,This your lastborn is not serious,Advice,Serious,Social
Aikin kwayarce ya nuna maki yanzu fa,He shows you the drug action now,Statement,Serious,Health
Wallahi ki daina fusata wannan bawan Allah,"I swear, stop angering this servant of God",Plea,Calm,Religion
Ni ne zan yanka muku albasa?,Its me that will cut the onions for you?,Question,Casual,Daily life
Sai ka yanka ta,Then you cut it,Command,Neutral,Daily life
Sai daga baya ya zo ya ce a yi hakuri,Later he came to apologize,Narration,Regretful,Social
"Har sai kin tambaya, ga zahiri"," You want to ask, while its the reality",Advice,Serious,Ethics
Saurayinta ne ya yi kokarin kashe ta,Her boyfriend tried to kill her,Narration,Serious,Security
"Bariki alalan gero, yaro idan ba ka iya ba ta kwabe maka","Indecent is like a millet stalk, if you can’t handle it, it will break you",Proverb,Admonishing,Culture
Ya yi kokarin kera jirgi,He tried to build an aircraft,Narration,Neutral,Technology
Kama shi aka yi hannu da hannu,He was arrested red-handed,Narration,Serious,Justice
Sirrin da ke cikin aure da ba a fada,The secrets in marriage that are not spoken,Statement,Reflective,Family
Yanayin zafin jikin matarka ya fi na murhu,Your wife’s body heat is hotter than a stove,Metaphor,Playful,Marriage
Ku tambayi masu aure,Ask married people,Advice,Serious,Marriage
Yanzu a ina jirgin yake?,So where is the aircraft now?,Question,Curious,Technology
Ya akai ya bari aka kama shi,How did he allow himself to be arrested?,Question,Critical,Justice
Bai gudu ya tsira da ransa ba,He did not escape to save his life,Observation,Serious,Security
Hukuma ce ta kamata ta yi masa hukunci,The authorities supposed to punish him,Opinion,Serious,Justice
In Allah ya so sai mun ziyarci Madina,"If God wills, we will visit Medina",Prayer,Hopeful,Religion
Mahaukaci ne fa,He is mad,Statement,Critical,Social
Kai da ganin wannan ka san ba shi da hankali,Just by looking you know he is not sane,Observation,Critical,Social
Duk rashin duka ne yake jawo mana haukan gan-gan,Lack of discipline causes madness,Statement,Serious,Social
Aiki ja,This job is hard,Statement,Tired,Work
Ka fara shan kyawa ne?,Have you started using drugs?,Question,Accusatory,Health
Tun ba a je ko ina ba ya gano shi makaryaci ne,Before going anywhere he knew he was a liar,Narration,Confident,Social
Su ma fa sakarkaru ne,They too are foolish,Statement,Critical,Social
Ba shi da wayau ko kadan,He is not smart at all,Statement,Critical,Social
Ka ji wata shegantaka,Did you hear such foolish boldness?,Question,Disbelief,Social
Ya kamata a kama wadanda suka yi imani da bayanansa,Those who believed his claims should be arrested,Opinion,Serious,Justice
Ni fa ban fahimci abin da kake nufi ba,I do not understand what you mean,Clarification,Confused,Social
Ya fita da fitarsa ne fa,He just left on his own,Statement,Neutral,Social
"Kai jama’a, duniya ina za ki damu","Oh people, what is the world becoming?",Exclamation,Concerned,Society
Karya fure take yi ba ta yawa,Lies flourish but do not last,Proverb,Reflective,Ethics
Gaskiya ya raina maku hankali,Truly he insulted your intelligence,Accusation,Serious,Social
Mafarkin da na yi ba shi da dadi,The dream I had was unpleasant,Confession,Uneasy,Personal
"Babbar magana, dan sanda ya ga gawar soja",A serious matter: a policeman saw a soldier’s body,Narration,Serious,Security
"Duk abin da ka ga ya yi, koyi ya yi da wani","Everything you see him do, he copied from someone",Observation,Critical,Social
"Talauci ne yake damunsa, shi ya sa ka gan shi haka","Poverty troubles him, that’s why he is like this",Explanation,Sympathetic,Social
Nakasace ne ko me ya same shi?,Is he disabled or what happened to him?,Question,Curious,Health
Rigar tasa kamar buhun garara,His clothes look like a sack,Observation,Critical,Social
Ku kwamushe shi na ce,I said seize him,Command,Harsh,Security
Makaryata kawai,They are just liars,Statement,Dismissive,Social
Ku kaishi tsakiyar tekun Maliya,Take him to the middle of the Malian sea,Command,Threatening,Social
Na ga wanda ya fi ni rashin ji,I have seen someone more stubborn than me,Statement,Reflective,Social
Amma ya aka yi aka sanya masa ankwa?,But how did they put handcuffs on him?,Question,Curious,Justice
Na girme ka amma kana so ka yi min wayau,"I am older than you, yet you try to outsmart me",Statement,Annoyed,Social
Sabon dan iska ne kawai,He is just a new troublemaker,Statement,Critical,Social
Wannan labari ba ya da dadin ji,This story is unpleasant to hear,Observation,Sad,Social
Ya kamata ka san wadannan abubuwan game da shi,You should know these things about him,Advice,Serious,Social
Halayensa da tarbiyyarsa masu kyau ne,His character and upbringing are good,Statement,Positive,Social
Soyayya ba ta rayuwa da kalamai masu dadi kadai,Love does not survive on sweet words alone,Statement,Reflective,Relationship
Ka lura da yadda yake mu’amala da mutane,Observe how he relates with people,Advice,Serious,Social
Yaya kake magance matsalolinka?,How do you handle your problems?,Question,Curious,Personal
Girmama mutane abu ne mai kyau gaskiya,Respecting people is truly good,Statement,Affirmative,Ethics
Halayya ita ce ginshikin zaman lafiya ga soyayya da aure,Character is the foundation of peace in love and marriage,Statement,Didactic,Marriage
Me kika fahimta game da soyayya da aure,What have you understood about love and marriage?,Question,Curious,Relationship
Ba kowa ke shiga soyayya da manufa daya ba,Not everyone enters love with the same intention,Statement,Reflective,Relationship
Nishadi nake son yi yau,I want to have fun today,Statement,Casual,Social
Aure na je nema yau,I went to seek marriage today,Statement,Declaration,Marriage
Kin fahimci abin da yake nufi da soyayya kuwa?,Do you understand what he means by love?,Question,Serious,Relationship
Shin da gaske kake kana sona?,Do you truly love me?,Question,Emotional,Relationship
Wasa kake yi ba sona kake ba,You are joking you do not really love me,Question,Doubtful,Relationship
Ina son in fahimci daidaituwar manufarsa,I want to understand the clarity of his intentions,Statement,Serious,Relationship
Ba ni son raina ya baci,I don’t like my heart being troubled,Statement,Emotional,Emotional
Addinin mutum yana kara masa kima,A person’s religion increases his value,Statement,Reflective,Religion
Ya taka muhimmiyar rawa a rayuwata,He played an important role in my life,Statement,Appreciative,Personal
Ba ka bambance halal da haram,You do not distinguish lawful from unlawful,Accusation,Serious,Religion
Gaskiya da amanarsa suna burgeni,His honesty and trustworthiness impress me,Statement,Appreciative,Social
Yana da hakuri da son yafiya,He is patient and likes forgiveness,Statement,Description,Personal
Kimarsa nake gani sosai,I value him highly,Statement,Appreciative,Personal
Ni da ke mun yi nisa da juna,You and I have grown far apart,Statement,Sad,Relationship
Hujjar da za a kamasu ta tabbata,The evidence to arrest them is established,Statement,Serious,Justice
Mun gano su da wuri,We discovered them early,Narration,Neutral,Justice
Sun yi mata kisan gilla,They murdered her brutally,Narration,Serious,Crime
Makocin shi mutum kirki ne,His neighbor is a good person,Statement,Positive,Social
A cikin dakin matar na same shi,I found him in his wife’s room,Narration,Serious,Family
"Ba ku kyauta ba, da ba ku cece su ba","You did wrong, You should have not saves them",Reproach,Serious,Social
Allah ya tsine wa duk mutanen da suke kashe mutane,May God curse all who kill people,Condemnation,Angry,Religion
Abin da ’yan jarida suke yi ba su kyauta ba,What journalists are doing is wrong,Complaint,Serious,Media
Suna bata mana suna sosai,They are damaging our reputation badly,Complaint,Serious,Social
Allah ya jikan wadanda suka rasu,May God have mercy on those who died,Prayer,Solemn,Religion
Dogon gashi yana burgeni,Long hair impresses me,Statement,Appreciative,Personal
Ba za ka gani ba dai,You will not see it anyway,Statement,Casual,Social
Namu ba na tallatawa bane,Ours is not for advertisement,Statement,Assertive,Business
"Namu yana da tsada, babu mai ganinsa",Ours is expensive; not everyone sees it,Statement,Proud,Business
"Yana daya daga cikin abin da nake so, yawan azkar","It is one of the things I like, frequent remembrance",Statement,Spiritual,Religion
Matata ce wadda ban aura ba,She is my wife though I have not married her,Statement,Confessional,Relationship
Wannan gashi kamar jelar tsatso,This hair is like a whip tail,Statement,Critical,Social
Sai mu jikokin Fulani,We are descendants of the Fulani,Statement,Identity,Culture
Allah ya albarkaci rayuwarki,May God bless your life,Prayer,Warm,Religion
Na dade ina neman irinki,I have long been searching for someone like you,Statement,Affectionate,Relationship
Kai amma fa na ji dadin haduwa da ke,"Wow, I really enjoyed meeting you",Statement,Happy,Relationship
Yanzu haka za a bar kowa ya yi abin da yake so?,Now everyone is allowed to do whatever they want?,Question,Concerned,Society
Gwamnati ba ta daukar mataki yadda ya dace,The government is not taking appropriate action,Complaint,Serious,Politics
’Yan siyasa suna ta siyasarsu,Politicians are busy with their politics,Complaint,Serious,Politics
Wallahi har ga Allah zan iya auren wannan bawan Allah,I swear before God I can marry this servant of God,Declaration,Serious,Marriage
"Amma kafin nan, bari in yi tsokaci a kan wannan maganar","But before that, let me comment on this matter",Statement,Serious,Social
Wannan fa da kike gani ba yaro ba ne,This person you see is not a child,Statement,Assertive,Social
Tabbas babu ta inda za a kirashi yaro,Certainly there is no way to call him a child,Statement,Assertive,Social
Ya yi aure ya mallaki yara maza da mata,He is married and has sons and daughters,Statement,Informative,Family
Na san da cewa zai kai shekaru arba’in,I know that he is about forty years old,Statement,Neutral,Personal
Ko ba komai na san ka haife ni,At least I know you gave birth to me,Statement,Emotional,Family
Ya ninka shekaruna fiye da sau biyu,He is more than twice my age,Statement,Neutral,Personal
Iftila’in da ya fada masa ba karami ba ne,The trial that befell him is not small,Statement,Sympathetic,Life
Ba ni ganin wani abin duniya zai burge shi,I don’t think anything worldly will impress him,Statement,Reflective,Personal
Dawowa kamar yadda yake da zai yi wahala,Returning to how he was will be difficult,Statement,Concerned,Life
Yana da shiga zuciyar mutane matuka,He greatly touches people’s hearts,Statement,Appreciative,Social
Jarabawar rayuwa da yake ciki kadai ta isheshi,The life test he is in alone is enough for him,Statement,Sympathetic,Life
Gata nake son na zame maki a koda yaushe,I want to always be there for you,Statement,Affectionate,Relationship
Dawowa cikin hayyacinsa abu ne mai wahala,Returning to full sanity is difficult,Statement,Serious,Health
Manufofinki suna burgeni,Your goals impress me,Statement,Appreciative,Personal
Mace mumina ita ce ake alfahari da ita,A believing woman is what one should be proud of,Statement,Didactic,Religion
Allah ya kaddara mu ga auranki,May God decree that we witness your marriage,Prayer,Hopeful,Religion
Sayyada nana fadima,Lady Nana Fadima,Statement,Respectful,Social
Ja’ira ta ji kudi ta yi tsit,Ja’ira heard money and went silent,Statement,Ironic,Social
Tausaya masa kike yi ba sonsa kike yi ba,You pity him; you don’t love him,Statement,Accusatory,Relationship
Aure zai yi masa wahala yanzu,Marriage will be difficult for him now,Statement,Concerned,Marriage
Barauniyar banza mara mutunci,"A worthless, shameless thief",Insult,Angry,Social
Da kyau mu rika kyautata zato ga junanmu,It’s good we maintain good assumptions about each other,Advice,Calm,Ethics
"Ra’ayina na fadi, ban ce ka yarda ba",I’ve said my opinion; I didn’t say you must agree,Statement,Neutral,Social
Son zuciyar mutane ya yi yawa a yanzu,Selfishness is too much nowadays,Observation,Serious,Society
Wallahi ni ba wannan ba ne a gabana,I swear that is not what I face,Statement,Assertive,Personal
Mu mata saurin girma gare mu ba kamar maza ba,Women mature faster than men,Statement,Generalization,Gender
Masu suna Maryam ai mayaudara ne,Those named Maryam are deceivers,Statement,Controversial,Social
Rigi-rigi a wijujjuge yake,Rigi -rigi is in trouble / Rigi-rigi is a troube some,Statement,Critical,Social
Wallahi an tashi kaina a wurin nan,I was greatly shocked and surprised there,Statement,Shocked,Emotional
Idan na tuna na yi wannan shirmen sai in ta dariya ni kadai,When I remember that foolish act I did I laugh alone,Reflection,Embarrassed,Personal
Ba ka iya biyan kudin kitso,You can’t pay for hair braiding,Accusation,Serious,Family
Ba ka iya sayen sabulun wanka,You can’t buy bathing soap,Accusation,Serious,Family
Ba ka iya saya mata foda,You can’t buy her powder,Accusation,Serious,Family
Ba ka iya saya mata man shafawa,You can’t buy her body cream,Accusation,Serious,Family
Turaren jiki da na fata ma ba ka iya saya mata,Even body perfume and lotion you can’t buy,Accusation,Serious,Family
Sabulun wanka da omo na wanki ma ba ka siya mata ba,You can’t even buy washing soap and detergent,Accusation,Serious,Family
Cikin shekara biyar ma ta haifi yara uku,In five years she gave birth to three children,Statement,Neutral,Family
Ta zagwanye ta lalace a shekaru kadan,She became exhausted and worn out in few years,Observation,Sad,Health
Yaranshi ya kasa yi musu dinki shekara biyar,He failed to sew clothes for his children for five years,Accusation,Serious,Family
Wanki take yi masa baiwar Allah,The poor woman washes clothes for him,Statement,Sympathetic,Family
Ba ta gajiya da wahalhalun gida,She does not tire of household hardships,Statement,Appreciative,Family
Biyayyar aure kam ta yi ta,She truly fulfilled marital obedience,Statement,Appreciative,Marriage
Don neman rufin asiri har guga take yi,To protect dignity she even iron people clothes,Statement,Sympathetic,Life
"Ka je ka ga ’yar mutane fes-fes ka ce aurenta za ka yi, kuma ba za ka kula ba","You see a well-kept girl, say you’ll marry her, yet won’t care for her",Reproach,Serious,Marriage
Aure yake son ya kara wai ta gida ba ta iya soyayya ba,He wants another marriage claiming the wife can’t love,Accusation,Serious,Marriage
Da ka bar ta ka aure wata,You should have left her and married the other one,Advice,Serious,Marriage
Maza ku rika gyara halayenku,Men should correct your behaviors,Admonition,Serious,Social
Mummunar dabi’ar maza ce rashin tsabta,Lack of cleanliness is a bad male habit,Statement,Critical,Health
Wannan maganar taka shakka babu a cikinta,This statement has no doubt in it,Statement,Assertive,Social
Kai kam ka ga ta kanka,You yourself have seen it,Statement,Assertive,Social
Ranar da cikin matata ya yi girman haka ba ta isa ta je gidanmu ba,The day my wife’s pregnancy grew that big she couldn’t visit our home,Statement,Serious,Family
Kallonta za a yi a ce ni ne na yi wannan aiki,People would look and say I did this work,Statement,Concerned,Social
Irin kune kuke doro idan kun tsufa,you are that type that Stooped in old age,Reflection,Serious,Life
Kungiya tana alfahari da kai gaskiya,The group is truly proud of you,Statement,Praise,Social
Ni ce yar zaman jego,I am the one who will be with the postpartum,Statement,Playful,Personal
Agogo sarkin aiki,You are a hard worker,Statement,Proverbial,Work
Na ga kamar suna kama da juna,They seem similar to me,Observation,Neutral,Social
Gaskiya ba ka da sanyin jiki,Truly you lack laziness,Statement,Critical,Personal
Rana ta yi zafi sosai yau,The day is very hot today,Statement,Neutral,Weather
Iska ake tayi alamun za a yi ruwa,Wind is blowing; it seems it will rain,Observation,Neutral,Weather
Allah ya sanya su haihu duka a rana daya,May God let them give birth on the same day,Prayer,Hopeful,Religion
Ka gaya mini gaskiya kada ka yi mini karya,Tell me the truth; don’t lie to me,Command,Serious,Social
Na gansu da ka ji abin burgewa,I saw them with impressed chickens,Statement,Neutral,Social
"Ni na ci kaza, su kasusuwa na ba su",I ate the chicken; I gave them the bones,Statement,Ironic,Social
Na ci cinyar kazar da damtsenta,I ate the chicken thigh and drumstick,Statement,Casual,Daily life
Hakuri za a mana a rabu da ni,Please forgive us and leave me alone,Plea,Calm,Social
"Ban san kazar ta gwarama ba ce, shi yasa na ci","I didn’t know the chicken was not their own, that’s why I ate it",Explanation,Defensive,Daily life
"Banda kudin biyan kazar nan fa, kai ka sani","I dont have the money to pay for the chicken, you know",Remark,Serious,Daily life
Kar ku bari kowa ya sani idan kuka yi satar nan,Don’t let anyone know if you did this theft,Command,Serious,Crime
Yana taimakawa wurin karfafa jijiyoyin kwakwalwa,It helps strengthen brain nerves,Statement,Informative,Health
"Ni da ya kamata in yi, wai ni za a yi mawa","Instead of me doing it, they want to do it to me",Complaint,Annoyed,Social
"Kana namiji kana min shagwaba, dakuwa za ka yi",As a man you you are doing pamper to me; I will deal with you,Statement,Playful,Relationship
"Hamago ne, ba shi da tunani",He dont know what he is doing and he is thoughtless,Insult,Critical,Social
"A haka kake son mulkin al’umma, daga magana ka dura ashar?","Is this how you want to rule people, with talk and insults?",Question,Critical,Politics
Ka bar ni da su tsohon dan tasha ne ni,Leave me with them; I’m an old street guy,Statement,Defiant,Social
Haladu kai dan duniya ne wallahi,"Haladu, you are worldly indeed",Statement,Teasing,Social
"Ya kamata ka sassauta zagi, ba girman ka bane gaskiya",You should reduce insults; it’s not your status,Advice,Serious,Ethics
Garin Kano yana da hadarin zama,Kano city is risky to live in,Observation,Concerned,Society
"Ba virgin ba ce, kuma ta yi aure; mijin ya tambayeta ya aka yi",She wasn’t a virgin and got married; her husband asked how,Observation,Serious,Social
"Mamana da Babana duka suna sonta, ita nake son in aura",My parents both love her; she’s the one I want to marry,Declaration,Warm,Marriage
Allah ya kawo mini yadda zan yi,May God bring me a way forward,Prayer,Hopeful,Religion
Rainin hankali ne fa irin na mata,Its playing with Intelligence like that of women,Statement,Controversial,Social
To kai maloho ne da ba za ka gane ba,So you’re foolish and won’t understand,Insult,Annoyed,Social
Idan aka so a yaudare ka sai a fara maka dadin baki,"If someone wants to deceive you, they start with sweet words",Proverb,Reflective,Ethics
In kana raye a duniyar nan dole sai ka ci albarkacin wani,In this world you must benefit from someone,Statement,Realistic,Society
Wannan abin naku ya zama cuta kenan,This thing of yours has become a disease,Statement,Critical,Social
Duk shegiyar da ta je ta yi zina za ta gane kuskurenta idan ta yi aure,Any girl who committed adultery will realize her mistake after marriage,Generalization,Serious,Social
Mijinki ba zai girmama ki ba idan ya ga kin taba zina,Your husband won’t respect you if he knows you committed adultery,Warning,Serious,Marriage
"Ki rabu da shi, shi ne zaman lafiyarki",Leave him; that’s your peace,Command,Serious,Relationship
Nawa aka aure su virgin kuma sun fi bin maza yanzu,Many married as virgins yet chase men now,Observation,Critical,Social
Za ki sha wahala a hannunsa gaskiya,"You will suffer at his hands, truly",Warning,Serious,Relationship
"Zai muzgunawa rayuwarki ne, ya hana ki sakat",He will oppress your life and stop you from peace,Warning,Serious,Relationship
"Idan na tuna abin, kuka nake ji a zuciyata","When I remember it, I feel crying in my heart",Emotional expression,Sad,Emotional
Shekarun balaga ake magana,We are talking about years of maturity,Statement,Neutral,Social
"Da na san abin da ta yi, da tuni na fitar da ita a raina","If I knew what she did, I would have removed her from my heart",Reflection,Regretful,Relationship
Ba zan daga kafa a kan wannan maganar ba,I will not back down on this matter,Statement,Defiant,Social
Mata ma fa yanzu tsoro suke ba ni,Women scare me nowadays,Statement,Uneasy,Social
Shalele na ina son ki,"My dear Shalele, I love you",Affection,Affectionate,Relationship
Yau muna mika sakon gaisuwa ga dukkan al’umma,Today we send greetings to all the people,Announcement,Formal,Media
Wane irin sharri aka taba yi maka?,What kind of evil was done to you?,Question,Concerned,Social
Abin ya yi mini ciwo sosai,It hurt me deeply,Statement,Sad,Emotional
Har abada ba zan manta da abin da ya yi mini ba,I will never forget what he did to me,Statement,Resentful,Emotional
"Mun yi ta magana kan matsalar, ba a gyara ba",We discussed the problem repeatedly; it wasn’t fixed,Narration,Frustrated,Work
Lallen nata fa ya yi kyau,Her henna looks nice,Statement,Appreciative,Social
Kitso ta tafi,She went for hair braiding,Narration,Neutral,Daily life
An danne min kirji daga shigowa gida,My chest felt tight upon entering the house,Emotional expression,Anxious,Health
Ban sani ba ko sai next week zan tafi,I don’t know; maybe I’ll go next week,Statement,Uncertain,Time
Har yanzu an kasa gano mai kalar hulata a Nigeria,They still can’t find the person with my type of cap in Nigeria,Observation,Concerned,Security
Hudubar Juma’ah daga masallacin Juma’ah,Friday sermon from the central mosque,Announcement,Solemn,Religion
Yanzu tsakani da Allah dole sai an yi turancin nan,"Now honestly, must we do this foreign influence?",Question,Critical,Society
An tilasta wa wata budurwa ta auri tsoho,A young woman was forced to marry an old man,Narration,Serious,Social
Za ta aureshi a matsayin biyan bashi ga mahaifinta,She will marry him to repay her father’s debt,Explanation,Sad,Social
In dai muka yi hakuri duk mutuwa za mu yi,"If we endure, we will all eventually die",Statement,Reflective,Life
"Idan mu Arewa, Musulmi da Kirista mun yarda duk abin da ya shafi daya ya shafi mu, to za mu samu zaman lafiya","If Northerners, Muslims and Christians accept that what affects one affects all, we will have peace",Statement,Didactic,Society
Allah ne kadai zai iya yi mana maganin matsalolinmu,Only God can solve our problems,Statement,Faithful,Religion
Kada mu yarda siyasa ta sanya mana kiyayyar juna,Let us not allow politics to cause hatred among us,Advice,Serious,Politics
"Ko mun so ko mun ki, Allah ya hada mu zama da juna","Whether we like it or not, God made us live together",Statement,Reflective,Society
Ran Kirista bai fi na Musulmi anfani ba,A Christian life is not more valuable than a Muslim’s,Statement,Assertive,Religion
Hakanan ran Musulmi bai fi na Kirista anfani ba,Likewise a Muslim life is not more valuable than a Christian’s,Statement,Assertive,Religion
Ko wace rai tana da daraja a wurin Allah,Every life has value before God,Statement,Didactic,Religion
Allah ya dawo da duk wanda aka yi garkuwa da su lafiya,May God return all those kidnapped safely,Prayer,Solemn,Religion
Allah ka zaunar da kasarmu lafiya,God grant our country peace,Prayer,Hopeful,Religion
Maganar da ka furta ta yi kama da abin da ke zuciyata,What you said reflects what is in my heart,Statement,Agreeing,Social
Duk wanda ke da hannu a cikin ta’addancin nan Allah ya wulakanta shi,"Whoever is involved in this terrorism, may God disgrace him",Condemnation,Angry,Security
Matan dā ne suke bata rai idan sun yi abinci maigida bai ci ba,In the past women felt bad if their husband didn’t eat,Statement,Nostalgic,Family
"Matan yanzu ba su damu da maigida ya ci ba, sai dai su kara yaji su cinye abunsu",Women nowadays don’t care if the husband eats; they just cook and eat theirs,Complaint,Critical,Family
